Winner_Rank,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Rank,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won,Player1Wins
87,1.15,11.55,4.4,3.7,29,43.6,16.25,36.25,3.55,8.4,32.1,77.8,77.35,566,1,10,3.142857143,4.285714286,27,44.28571429,11.28571429,26.42857143,3.285714286,9.571428571,32.14285714,77.57142857,70.42857143,0
20,1.459016393,12.09836066,4.180327869,4.68852459,31.09836066,45.75409836,14.75409836,31.59016393,3.704918033,8.573770492,31.60655738,73.78688525,77.50819672,133,0.972222222,9.805555556,1.944444444,3.972222222,25.44444444,42.19444444,10.83333333,24.75,3.5,8.305555556,30.38888889,69.38888889,66.66666667,1
110,1.142857143,10.87012987,3.168831169,2.805194805,27.93506494,43.7012987,14.11688312,30.57142857,3.428571429,7.831168831,30.31168831,73.1038961,72.36363636,29,1.225806452,11.01075269,3.107526882,6.182795699,27.87096774,41.86021505,12.72043011,30.19354839,3.752688172,8.075268817,31.10752688,71.78494624,71.69892473,0
8,1.451612903,11.85483871,1.770491803,2.887096774,31.08064516,48.85483871,11.32258065,24.9516129,4.35483871,9.612903226,34.85483871,75.27419355,77.25806452,34,1.326923077,11.07692308,1.92,2.903846154,28.17307692,43.71153846,11.34615385,25.98076923,4.057692308,8.25,31.01923077,69.07692308,70.53846154,0
40,1.108695652,10.26086957,2.52173913,3.888888889,28.06521739,44.13043478,12.19565217,27.41304348,3.413043478,7.673913043,29.89130435,69.19565217,70.15217391,84,1.2,11.3,1,2.4,29.8,48,10.7,24.1,4.2,8.9,35.5,81.4,76,0
101,1.048611111,10.04861111,0.447552448,2.354166667,28.5,50.65277778,9.458333333,20.57638889,3.833333333,7.951388889,30.59722222,68.77777778,68.625,91,0.978021978,9.813186813,2.769230769,4.120879121,24.6043956,39.37362637,13.0989011,29.64835165,3.549450549,7.758241758,29.23076923,68.13186813,66.96703297,0
65,1.056338028,10.63380282,2.042253521,4.732394366,28.23943662,44.94366197,12.46478873,28.92957746,3.802816901,8.507042254,31.33802817,71.50704225,72.04225352,53,1.18487395,10.99159664,2.546218487,3.672268908,27.92436975,44.00840336,12.77310924,29.27731092,3.957983193,8.764705882,32.10084034,72.99159664,72.79831933,0
42,1.280632411,11.39525692,2.913043478,4.980237154,29.1541502,44.40316206,12.38735178,28.37549407,3.924901186,8.557312253,32.06719368,73.00395257,73.63241107,76,0.984615385,9.892307692,2.153846154,2.476923077,26.50769231,44.30769231,11.52307692,25.27692308,3.476923077,7.892307692,28.89230769,67.93846154,67.13846154,1
162,0.833333333,12.33333333,0.333333333,6.333333333,37.33333333,66.66666667,10.16666667,30.83333333,5.333333333,12.16666667,46.83333333,102.5,94.33333333,183,1.2,11.2,2.6,4.6,26.8,46.4,12.2,28,5.2,10.4,33.2,71.4,72.2,1
83,1.103448276,10.13793103,1.310344828,2.035714286,30.10344828,51.5862069,8.448275862,18.75862069,3.862068966,7.517241379,29.03448276,65.10344828,67.5862069,133,1.181818182,11.09090909,0.272727273,3.545454545,27.63636364,46.90909091,12.09090909,28.09090909,4.727272727,10.27272727,35,77.18181818,74.72727273,1
20,1.275862069,11.51231527,4.458128079,3.541871921,29.96551724,45.44334975,13.73891626,28.43842365,3.428571429,8.310344828,30.29064039,72.67980296,73.99507389,114,1.066176471,10.11764706,0.437037037,2.338235294,28.69117647,50.94852941,9.595588235,20.81617647,3.845588235,7.955882353,30.69117647,68.90441176,68.97794118,1
141,1.5,12.75,0,3.25,31.5,52.75,8,16.5,5.5,13.5,39.75,80.75,79.25,103,1.142857143,9.857142857,0.857142857,2.428571429,29.42857143,50.85714286,7.571428571,19.28571429,4.285714286,8.285714286,31,65.28571429,68,1
259,1.142857143,10.44285714,2.753623188,2.385714286,27.38571429,43.45714286,11.55714286,25.08571429,3.385714286,7.314285714,29.31428571,68.71428571,68.25714286,68,1.147058824,10.89215686,1.980392157,2.990196078,28.83333333,47.52941176,11.18627451,23.85294118,3.843137255,8.598039216,31.37254902,72.14705882,71.39215686,0
117,1.666666667,11,1,2,25.83333333,39,9,18.83333333,4.333333333,8.833333333,32.66666667,69.33333333,67.5,137,1.08,10.46,3.8,5.12,26.16,39.64,14.14,33.76,3.52,7.52,30.02,72.14,70.32,1
4,1.62345679,12.19135802,2.222222222,2.950310559,26.88888889,41.77160494,11.4691358,23.44444444,4.919753086,9.672839506,33.69135802,68.96296296,72.04938272,44,1.118644068,10.44067797,0.811965812,3.118644068,29.50847458,51.68644068,7.525423729,18.66101695,4.703389831,8.983050847,32.92372881,68.78813559,69.95762712,1
217,0.666666667,8,3,2,19.33333333,32.66666667,11.33333333,25,3,6.333333333,24.33333333,56,55,205,0.7,10.1,2,2.2,28.4,50.6,11.6,26.1,3.6,8.6,33.2,77.2,73.2,1
114,1.150943396,10.89622642,3.075471698,4.133333333,28.32075472,43.28301887,13.41509434,29.91509434,3.528301887,8.094339623,31.31132075,72.61320755,73.04716981,72,0.97826087,9.891304348,1.217391304,3.934782609,24.60869565,38.91304348,12.60869565,28.7826087,3.543478261,7.565217391,29.15217391,67.32608696,66.36956522,1
78,0.945945946,9.648648649,2.189189189,3.675675676,26.89189189,44.72972973,10,23.64864865,3.540540541,7.162162162,28.62162162,65.64864865,65.51351351,55,1.035714286,10.37857143,3.478571429,5.164285714,25.62142857,38.73571429,13.97857143,32.57857143,3.535714286,7.642857143,29.51428571,70.4,69.14285714,0
34,1.146341463,10.47560976,3,4.329268293,27.19512195,42.74390244,12.45121951,28.67073171,3.75308642,7.790123457,30.09756098,68.68292683,69.74390244,11,1.533898305,12.07627119,1.582608696,2.559322034,30.90677966,48.79661017,10.94915254,23.40677966,4.559322034,9.737288136,35.1440678,75.13559322,77,0
47,1.172413793,10.8362069,2.269565217,2.646551724,28.28448276,44.51724138,12.57758621,26.8362069,3.594827586,8.198275862,30.3362069,70.64655172,71.19827586,38,1.223300971,11.36893204,4.067961165,4.097087379,30.34951456,46.48543689,13.95145631,29.82524272,3.427184466,8.533980583,31.42718447,75.02912621,75.72815534,1
81,1.037037037,10.74074074,1.898148148,5.037037037,29.80555556,48.00925926,11.28703704,26.32407407,3.712962963,8.768518519,32.28703704,73.80555556,73.37962963,234,0.966101695,10.28813559,2.36440678,4.491525424,24.66101695,38.62711864,14.54237288,32.33898305,3.694915254,8.203389831,30.97457627,71.33050847,70.20338983,1
12,1.4296875,11.46875,0.879032258,1.874015748,29.84375,49.7109375,10.2421875,21.75,4.546875,9.5234375,33.8359375,72.90625,73.921875,17,1.453125,11.65625,1.790322581,3,28.46875,45.75,11.546875,24.359375,4.40625,9.46875,34.078125,72.875,74.09375,0
86,1.234042553,11.63829787,2.744680851,8.212765957,28.24113475,42.43262411,15.69503546,33.90780142,3.744680851,8.624113475,32.03546099,74.0212766,75.97163121,41,1.208092486,11.37572254,1.517647059,5.485549133,29.43352601,47.32369942,11.70520231,27.89017341,4.473988439,9.36416185,34.12138728,73.98265896,75.26011561,1
39,1.241935484,11.4516129,3.467741935,7.274193548,28.9516129,43.25806452,13.08064516,32.38709677,4.048387097,8.677419355,32.66129032,74.88709677,74.69354839,27,1.323943662,11.70422535,4.690140845,2.887323944,29.25352113,42.90140845,13.70422535,27.01408451,3.394366197,7.478873239,30.36619718,72.05633803,73.32394366,1
285,0.4,7.4,1.2,4.8,19.8,34.6,10.4,28.4,3.4,7.4,27.6,62,57.8,125,0.692307692,8.692307692,1.384615385,3.4,26.26923077,47.07692308,10.26923077,24.5,3.346153846,7.192307692,28.80769231,68.73076923,65.34615385,1
19,1.393103448,11.87586207,6.675862069,3.034482759,30.46896552,42.80689655,13.86206897,30.15172414,3.510344828,7.868965517,31.19310345,74.42068966,75.52413793,41,1.296296296,11.11111111,3.666666667,3.740740741,28.22222222,41.77777778,11.66666667,27.18518519,3.962962963,8.37037037,30.40740741,67.88888889,70.2962963,0
129,0.666666667,9.333333333,3,4.833333333,22.5,37.33333333,13.5,29.16666667,3.333333333,8.166666667,28.5,65.66666667,64.5,71,1.333333333,12.13333333,0.8,2.533333333,30.66666667,52.26666667,14.2,28.73333333,4.466666667,10.86666667,37.2,82.8,82.06666667,0
103,1.166666667,10.64285714,3.952380952,5.19047619,26.57142857,39.9047619,13.9047619,32.45238095,3.666666667,7.595238095,30.19047619,70.5,70.66666667,3,1.532934132,11.70658683,2.580838323,1.347305389,27.82035928,42.73652695,10.71856287,22.63473054,4.520958084,8.868263473,31.5508982,65.33532934,70.08982036,0
272,0.444444444,7.666666667,1.888888889,3.555555556,23.22222222,42.11111111,10,25,3,8,27.11111111,64.77777778,60.33333333,66,0.907692308,9.107692308,0.953846154,1.969230769,23.73846154,42.44615385,10.72307692,23.09230769,3.569230769,7.584615385,28.89230769,65.30769231,63.35384615,1
12,1.386554622,11.68067227,3.109243697,3.823529412,27.72268908,43.3697479,12.35294118,27.29411765,4.579831933,9.638655462,33.15966387,71.56302521,73.49579832,20,1.222972973,11.37837838,3.277027027,3.945945946,29.35135135,45.06756757,12.62162162,27.2027027,3.763513514,8.405405405,31.22972973,72.20945946,73.30405405,1
